direction_name,block_id,route_id,service_id,direction_id,trip_headsign,wheelchair_accessible,shape_id,trip_id,start_time,end_time
Eastbound,a_2025_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5873__2025_Timetable_-_2023-10,0 days 07:24:00,0 days 08:08:00
Eastbound,a_2059_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5874__2059_Timetable_-_2023-10,0 days 07:44:00,0 days 08:28:00
Eastbound,a_2079_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5875__2079_Timetable_-_2023-10,0 days 07:54:00,0 days 08:38:00
Eastbound,a_2035_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5876__2035_Timetable_-_2023-10,0 days 08:14:00,0 days 08:58:00
Eastbound,a_2031_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5877__2031_Timetable_-_2023-10,0 days 08:24:00,0 days 09:08:00
Eastbound,a_2006_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5878__2006_Timetable_-_2023-10,0 days 08:44:00,0 days 09:28:00
Eastbound,a_2064_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5879__2064_Timetable_-_2023-10,0 days 08:54:00,0 days 09:38:00
Southbound,a_4013_Timetable_-_2023-10,407,Weekday_merged_999971,1,Raleigh,1,100.0.1952647814_Timetable_-_2023-10,587__4013_Timetable_-_2023-10,0 days 11:55:00,0 days 12:20:00
Eastbound,a_2033_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5880__2033_Timetable_-_2023-10,0 days 09:13:00,0 days 10:00:00
Eastbound,a_2025_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5881__2025_Timetable_-_2023-10,0 days 09:23:00,0 days 10:10:00
Eastbound,a_2059_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5882__2059_Timetable_-_2023-10,0 days 09:46:00,0 days 10:37:00
