Run_ID,Time_Stamp,Network_Name,Scenarios,Objective_Value in $,Run_Time in minutes,Build_Time in minutes,Variables in millions,Constraints in millions,Status,Apply_Benders_Cut,Use_Temperature,Use_Renewables,Solar_Panel_Cost,Battery_Storage_Cost,Grid_Capacity_Cost
34,Sat Jun 15 11:36:38 2024,Thunder_bay_clustering,1,157.84924108078968,4.757485942045848,2.0240750312805176,0.071,0.083,optimal,True,True,True,[0.017],[0.046],[0.14]
35,Sat Jun 15 11:39:33 2024,Thunder_bay_clustering,2,187.8111469907845,7.217429717381795,4.33141303062439,0.144,0.168,optimal,True,True,True,[0.017],[0.046],[0.14]
36,Sat Jun 15 11:42:29 2024,Thunder_bay_clustering,4,204.36446057327208,9.881008454163869,8.757834196090698,0.283,0.333,optimal,True,True,True,[0.017],[0.046],[0.14]
12,Sat Jun 15 11:44:43 2024,Thunder_bay_903,1,157.84924108078968,4.617988415559133,2.809934139251709,0.071,0.083,optimal,True,True,True,[0.017],[0.046],[0.14]
37,Sat Jun 15 11:46:05 2024,Thunder_bay_clustering,13,198.4768817443625,11.80479506254196,76.65865182876587,0.943,1.098,optimal,True,True,True,[0.017],[0.046],[0.14]
38,Sat Jun 15 11:55:23 2024,Thunder_bay_clustering,26,206.40958413015528,18.71796086629232,128.51017880439758,1.893,2.205,optimal,True,True,True,[0.017],[0.046],[0.14]
39,Sat Jun 15 12:12:37 2024,Thunder_bay_clustering,52,209.84581321194355,30.806244603792827,250.64832377433777,3.778,4.37,optimal,True,True,True,[0.017],[0.046],[0.14]
18,Sat Jun 15 12:23:29 2024,Thunder_bay_903,52,209.8458132119427,36.14832121928533,138.44808387756348,3.778,4.37,optimal,True,True,True,[0.017],[0.046],[0.14]
18,Sat Jun 15 22:38:15 2024,Thunder_bay_903,52,209.84581321194096,532.2669901410738,124.84050583839417,3.778,4.37,optimal,True,True,True,[0.017],[0.046],[0.14]
18,Sun Jun 16 13:49:47 2024,Thunder_bay_903,52,211.8694233709961,1443.9033099095027,125.30696082115172,3.778,4.37,time limit exceeded,True,True,True,[0.017],[0.046],[0.14]
18,Sun Jun 16 13:54:22 2024,Thunder_bay_903,52,348.3020227308984,1448.221459762255,127.57123947143556,3.778,4.37,time limit exceeded,True,True,True,[0.017],[0.046],[0.14]
24,Sun Aug 18 18:27:13 2024,Durham_2.1k,1,567.8224063630016,4.763993362585704,8.551800966262817,0.232,0.229,optimal,False,True,True,[0.017],[0.046],[0.14]
23,Sun Aug 18 18:34:03 2024,Durham_2.1k,1,1268.7219231234037,2.2281091451644897,11.947958946228027,0.232,0.229,user aborted,True,True,True,[0.017],[0.046],[0.14]
24,Sun Aug 18 18:44:30 2024,Durham_2.1k,1,567.8224063630016,4.873666274547577,9.993279695510864,0.232,0.229,optimal,False,True,True,[0.017],[0.046],[0.14]
23,Sun Aug 18 19:18:12 2024,Durham_2.1k,1,567.8224063629393,32.520989724000295,13.617867231369019,0.232,0.229,optimal,True,True,True,[0.017],[0.046],[0.14]
